rank,player,pos,team,age,keeper_rank,keeper_value,fg_pct,ft_pct,3pm,pts,reb,ast,stl,blk,to
296,Kyle Kuzma,SF/PF,MIL,31.1,457,989,0.492,0.726,1.2,13.0,4.5,2.7,0.7,0.4,1.7
297,Gary Trent Jr.,SG/SF,MIL,27.6,513,944,0.387,0.769,1.9,8.1,1.0,1.2,0.5,0.0,0.6
298,Luguentz Dort,SG/SF,ATL,27.4,512,944,0.385,0.759,1.9,8.3,3.5,1.2,0.9,0.4,0.8
299,Russell Westbrook,PG/SG,SAC,37.8,672,629,0.427,0.694,2.0,15.2,5.4,6.7,1.3,0.2,3.3
300,Alex Caruso,SG/SF,OKC,32.5,602,840,0.422,0.804,1.0,6.2,2.8,2.0,1.3,0.3,0.9
301,Bobby Portis,PF/C,MIA,31.6,518,941,0.488,0.706,2.0,13.7,6.4,1.6,0.6,0.2,1.0
302,Adem Bona,C,PHI,23.4,387,1017,0.595,0.708,0.0,4.8,4.3,0.5,0.4,1.2,0.8
303,Moses Moody,SG/SF/PF,GS,24.3,418,1006,0.440,0.770,2.5,12.1,3.3,1.6,1.0,0.6,1.0
304,Pat Spencer,PG/SG,PHO,30.2,254,1091,0.427,0.772,0.9,7.2,2.4,3.5,0.7,0.1,1.3
305,Tristan Da Silva,SF/PF,ORL,25.3,251,1093,0.450,0.884,1.6,9.9,3.7,1.6,0.9,0.3,0.9
306,Bones Hyland,PG/SG,MIN,26.0,641,754,0.453,0.780,1.6,8.5,1.8,2.6,0.6,0.2,1.0
307,Grant Williams,PF/C,CHA,27.8,648,718,0.426,0.815,1.4,7.0,3.9,1.6,0.5,0.5,0.9
308,Andre Drummond,C,NY,33.1,603,838,0.472,0.631,0.5,6.4,8.4,1.3,0.6,0.8,1.0
309,Dennis Schröder,PG/SG,CHA,33.0,653,698,0.405,0.834,1.1,10.8,2.7,4.9,0.8,0.2,1.8
310,Duncan Robinson,SG/SF,DET,32.4,694,599,0.456,0.755,2.9,12.2,2.7,2.1,0.6,0.3,0.7
311,Spencer Jones,SG/SF,DEN,25.2,227,1103,0.504,0.608,0.9,5.5,3.3,0.8,0.8,0.5,0.5
