rank,player,pos,team,age,keeper_rank,keeper_value,fg_pct,ft_pct,3pm,pts,reb,ast,stl,blk,to
367,Will Richard,SG/SF,GS,23.7,,,0.470,0.852,1.0,6.4,2.5,1.3,1.2,0.1,0.8
368,Corey Kispert,SF/PF,ATL,27.5,538,907,0.467,0.794,1.5,9.2,2.3,1.6,0.3,0.2,0.8
369,Jaden Hardy,PG/SG,LAL,24.2,593,857,0.424,0.733,1.8,9.2,1.5,1.0,0.3,0.1,1.1
370,Ben Saraf,SG,BKN,20.4,283,1081,0.396,0.830,0.4,7.5,2.1,3.3,0.9,0.2,2.3
371,Sam Hauser,SF/PF,BOS,28.7,354,1035,0.419,0.850,2.5,9.2,3.8,1.5,0.5,0.3,0.4
372,Buddy Hield,SG/SF,ATL,33.7,623,805,0.437,0.811,1.5,7.6,2.3,1.4,0.8,0.2,0.9
373,Tre Mann,PG/SG,WAS,25.6,469,986,0.360,0.852,0.9,5.5,1.7,1.6,0.5,0.1,1.0
374,Vít Krejcí,SG/SF,POR,26.2,411,1008,0.447,0.745,2.0,8.5,2.3,1.5,0.7,0.3,0.6
375,Tim Hardaway Jr.,SG/SF,MIA,34.5,735,576,0.447,0.811,2.8,13.5,2.6,1.4,0.5,0.1,0.5
376,Haywood Highsmith,SF/PF,PHO,29.7,734,576,0.522,0.857,1.1,5.4,1.9,1.0,0.6,0.0,0.0
377,Dalton Knecht,SG/SF,LAL,25.4,427,1005,0.455,0.727,0.7,4.2,1.4,0.4,0.2,0.2,0.4
378,Mouhamed Gueye,PF/C,ATL,23.8,222,1104,0.452,0.645,0.5,4.4,3.6,0.9,0.8,0.5,0.4
379,Trendon Watford,PF/C,NO,25.8,441,998,0.515,0.779,0.2,6.5,3.3,2.5,0.3,0.4,1.2
380,Jonathan Isaac,SF/PF,ORL,28.9,537,910,0.422,0.603,0.1,2.6,2.5,0.4,0.4,0.6,0.3
381,Jordan Hawkins,SG/SF,NO,24.3,433,1001,0.366,0.852,0.9,5.1,1.7,0.8,0.3,0.2,0.7
382,Asa Newell,PF,ATL,20.9,326,1051,0.538,0.552,0.7,5.2,2.2,0.6,0.4,0.3,0.5
383,Jordan Clarkson,PG/SG,NY,34.2,606,835,0.451,0.830,1.0,8.6,1.8,1.3,0.4,0.1,0.9
384,Dariq Whitehead,SG/SF,MEM,22.1,638,768,0.398,0.714,3.2,16.3,4.0,1.5,0.7,0.0,1.7
385,Olivier-Maxence Prosper,PF/C,MEM,24.2,729,578,0.549,0.754,1.1,10.0,3.5,1.0,0.8,0.2,0.9
